yr,wk,tm_home,tm_away
2018,1,PHI,ATL
2018,1,CLE,PIT
2018,1,IND,CIN
2018,1,MIA,TEN
2018,1,MIN,SFO
2018,1,BAL,BUF
2018,1,NWE,HOU
2018,1,NYG,JAX
2018,1,NOR,TBY
2018,1,LAC,KCY
2018,1,ARI,WAS
2018,1,DEN,SEA
2018,1,CAR,DAL
2018,1,GBY,CHI
2018,1,DET,NYJ
2018,1,OAK,LAR
2018,2,CIN,BAL
2018,2,GBY,MIN
2018,2,NOR,CLE
2018,2,NYJ,MIA
2018,2,BUF,LAC
2018,2,ATL,CAR
2018,2,PIT,KCY
2018,2,WAS,IND
2018,2,TEN,HOU
2018,2,TBY,PHI
2018,2,SFO,DET
2018,2,LAR,ARI
2018,2,DEN,OAK
2018,2,JAX,NWE
2018,2,DAL,NYG
2018,2,CHI,SEA
2018,3,CLE,NYJ
2018,3,CAR,CIN
2018,3,HOU,NYG
2018,3,JAX,TEN
2018,3,BAL,DEN
2018,3,ATL,NOR
2018,3,KCY,SFO
2018,3,WAS,GBY
2018,3,PHI,IND
2018,3,MIA,OAK
2018,3,MIN,BUF
2018,3,LAR,LAC
2018,3,ARI,CHI
2018,3,SEA,DAL
2018,3,DET,NWE
2018,3,TBY,PIT
2018,4,LAR,MIN
2018,4,DAL,DET
2018,4,GBY,BUF
2018,4,IND,HOU
2018,4,CHI,TBY
2018,4,ATL,CIN
2018,4,JAX,NYJ
2018,4,TEN,PHI
2018,4,NWE,MIA
2018,4,ARI,SEA
2018,4,OAK,CLE
2018,4,NYG,NOR
2018,4,LAC,SFO
2018,4,PIT,BAL
2018,4,DEN,KCY
2018,5,NWE,IND
2018,5,CIN,MIA
2018,5,CLE,BAL
2018,5,CAR,NYG
2018,5,BUF,TEN
2018,5,DET,GBY
2018,5,PIT,ATL
2018,5,NYJ,DEN
2018,5,KCY,JAX
2018,5,LAC,OAK
2018,5,SFO,ARI
2018,5,PHI,MIN
2018,5,SEA,LAR
2018,5,HOU,DAL
2018,5,NOR,WAS
2018,6,NYG,PHI
2018,6,CLE,LAC
2018,6,HOU,BUF
2018,6,CIN,PIT
2018,6,ATL,TBY
2018,6,MIA,CHI
2018,6,WAS,CAR
2018,6,OAK,SEA
2018,6,MIN,ARI
2018,6,NYJ,IND
2018,6,DEN,LAR
2018,6,DAL,JAX
2018,6,TEN,BAL
2018,6,NWE,KCY
2018,6,GBY,SFO
2018,7,ARI,DEN
2018,7,LAC,TEN
2018,7,JAX,HOU
2018,7,TBY,CLE
2018,7,PHI,CAR
2018,7,NYJ,MIN
2018,7,CHI,NWE
2018,7,IND,BUF
2018,7,KCY,CIN
2018,7,MIA,DET
2018,7,BAL,NOR
2018,7,WAS,DAL
2018,7,SFO,LAR
2018,7,ATL,NYG
2018,8,HOU,MIA
2018,8,JAX,PHI
2018,8,KCY,DEN
2018,8,PIT,CLE
2018,8,NYG,WAS
2018,8,DET,SEA
2018,8,CIN,TBY
2018,8,CHI,NYJ
2018,8,CAR,BAL
2018,8,OAK,IND
2018,8,ARI,SFO
2018,8,LAR,GBY
2018,8,MIN,NOR
2018,8,BUF,NWE
2018,9,SFO,OAK
2018,9,BAL,PIT
2018,9,BUF,CHI
2018,9,CAR,TBY
2018,9,CLE,KCY
2018,9,MIA,NYJ
2018,9,MIN,DET
2018,9,WAS,ATL
2018,9,DEN,HOU
2018,9,SEA,LAC
2018,9,NOR,LAR
2018,9,NWE,GBY
2018,9,DAL,TEN
2018,10,PIT,CAR
2018,10,CLE,ATL
2018,10,CIN,NOR
2018,10,CHI,DET
2018,10,GBY,MIA
2018,10,TEN,NWE
2018,10,TBY,WAS
2018,10,NYJ,BUF
2018,10,KCY,ARI
2018,10,IND,JAX
2018,10,OAK,LAC
2018,10,LAR,SEA
2018,10,PHI,DAL
2018,10,SFO,NYG
2018,11,SEA,GBY
2018,11,CHI,MIN
2018,11,BAL,CIN
2018,11,ATL,DAL
2018,11,DET,CAR
2018,11,NOR,PHI
2018,11,WAS,HOU
2018,11,NYG,TBY
2018,11,IND,TEN
2018,11,ARI,OAK
2018,11,LAC,DEN
2018,11,JAX,PIT
2018,11,LAR,KCY
2018,12,DET,CHI
2018,12,DAL,WAS
2018,12,NOR,ATL
2018,12,PHI,NYG
2018,12,NYJ,NWE
2018,12,IND,MIA
2018,12,CIN,CLE
2018,12,CAR,SEA
2018,12,BUF,JAX
2018,12,TBY,SFO
2018,12,BAL,OAK
2018,12,LAC,ARI
2018,12,DEN,PIT
2018,12,MIN,GBY
2018,12,HOU,TEN
2018,13,DAL,NOR
2018,13,ATL,BAL
2018,13,CIN,DEN
2018,13,TBY,CAR
2018,13,PIT,LAC
2018,13,NYG,CHI
2018,13,MIA,BUF
2018,13,DET,LAR
2018,13,GBY,ARI
2018,13,HOU,CLE
2018,13,JAX,IND
2018,13,TEN,NYJ
2018,13,OAK,KCY
2018,13,NWE,MIN
2018,13,SEA,SFO
2018,13,PHI,WAS
2018,14,TEN,JAX
2018,14,BUF,NYJ
2018,14,CHI,LAR
2018,14,WAS,NYG
2018,14,TBY,NOR
2018,14,MIA,NWE
2018,14,KCY,BAL
2018,14,HOU,IND
2018,14,CLE,CAR
2018,14,GBY,ATL
2018,14,SFO,DEN
2018,14,LAC,CIN
2018,14,ARI,DET
