season,wk,date,time,tm_home,tm_away,spread_home,total,wday,pts_home,pts_away,ot,tm_winner_straight,tm_winner_spread,total_result
2006,1,2006-09-07,2006-09-07T08:37:00Z,PIT,MIA,-1.5,34.5,Thu,28,17,FALSE,PIT,PIT,O
2006,1,2006-09-10,2006-09-10T01:03:00Z,CAR,ATL,-4.5,39,Sun,6,20,FALSE,ATL,ATL,U
2006,1,2006-09-10,2006-09-10T01:02:00Z,NWE,BUF,-10,41,Sun,19,17,FALSE,NWE,BUF,U
2006,1,2006-09-10,2006-09-10T01:04:00Z,DET,SEA,6,44,Sun,6,9,FALSE,SEA,DET,U
2006,1,2006-09-10,2006-09-10T04:15:00Z,GNB,CHI,3.5,35,Sun,0,26,FALSE,CHI,CHI,U
2006,1,2006-09-10,2006-09-10T01:02:00Z,HOU,PHI,6,37,Sun,10,24,FALSE,PHI,PHI,U
2006,1,2006-09-10,2006-09-10T04:15:00Z,JAX,DAL,2.5,36.5,Sun,24,17,FALSE,JAX,JAX,O
2006,1,2006-09-10,2006-09-10T01:00:00Z,KAN,CIN,1.5,49.5,Sun,10,23,FALSE,CIN,CIN,U
2006,1,2006-09-10,2006-09-10T01:04:00Z,CLE,NOR,-3,36,Sun,14,19,FALSE,NOR,NOR,U
2006,1,2006-09-10,2006-09-10T08:24:00Z,NYG,IND,3,47.5,Sun,21,26,FALSE,IND,IND,U
2006,1,2006-09-10,2006-09-10T01:03:00Z,TEN,NYJ,-2.5,35,Sun,16,23,FALSE,NYJ,NYJ,O
2006,1,2006-09-10,2006-09-10T01:02:00Z,STL,DEN,3.5,46,Sun,18,10,FALSE,STL,STL,U
2006,1,2006-09-10,2006-09-10T01:01:00Z,TAM,BAL,-3,33,Sun,0,27,FALSE,BAL,BAL,U
2006,1,2006-09-10,2006-09-10T04:15:00Z,ARI,SFO,-9.5,44,Sun,34,27,FALSE,ARI,SFO,O
2006,1,2006-09-11,2006-09-11T07:11:00Z,WAS,MIN,-4,35.5,Mon,16,19,FALSE,MIN,MIN,U
2006,1,2006-09-11,2006-09-11T10:25:00Z,OAK,SDG,3,41.5,Mon,0,27,FALSE,SDG,SDG,U
2006,2,2006-09-17,2006-09-17T01:03:00Z,MIA,BUF,-6.5,37,Sun,6,16,FALSE,BUF,BUF,U
2006,2,2006-09-17,2006-09-17T01:03:00Z,MIN,CAR,-2,37.5,Sun,16,13,TRUE,MIN,MIN,U
2006,2,2006-09-17,2006-09-17T01:03:00Z,CIN,CLE,-10.5,40.5,Sun,34,17,FALSE,CIN,CIN,O
2006,2,2006-09-17,2006-09-17T04:06:00Z,SEA,ARI,-7,48,Sun,21,10,FALSE,SEA,SEA,U
2006,2,2006-09-17,2006-09-17T01:03:00Z,CHI,DET,-7,32,Sun,34,7,FALSE,CHI,CHI,O
2006,2,2006-09-17,2006-09-17T01:02:00Z,GNB,NOR,1,40.5,Sun,27,34,FALSE,NOR,NOR,O
2006,2,2006-09-17,2006-09-17T01:03:00Z,IND,HOU,-12.5,47,Sun,43,24,FALSE,IND,IND,O
2006,2,2006-09-17,2006-09-17T04:16:00Z,DEN,KAN,-11,38,Sun,9,6,TRUE,DEN,KAN,U
2006,2,2006-09-17,2006-09-17T01:02:00Z,PHI,NYG,-3,42,Sun,24,30,TRUE,NYG,NYG,O
2006,2,2006-09-17,2006-09-17T04:15:00Z,NYJ,NWE,6,38.5,Sun,17,24,FALSE,NWE,NWE,O
2006,2,2006-09-17,2006-09-17T04:15:00Z,SDG,TEN,-12,38.5,Sun,40,7,FALSE,SDG,SDG,O
2006,2,2006-09-17,2006-09-17T01:02:00Z,BAL,OAK,-13,34,Sun,28,6,FALSE,BAL,BAL,E
2006,2,2006-09-17,2006-09-17T04:06:00Z,SFO,STL,3,44.5,Sun,20,13,FALSE,SFO,SFO,U
2006,2,2006-09-17,2006-09-17T01:05:00Z,ATL,TAM,-4.5,36,Sun,14,3,FALSE,ATL,ATL,U
2006,2,2006-09-17,2006-09-17T08:20:00Z,DAL,WAS,-7,37,Sun,27,10,FALSE,DAL,DAL,E
2006,2,2006-09-18,2006-09-18T08:40:00Z,JAX,PIT,2.5,36.5,Mon,9,0,FALSE,JAX,JAX,U
2006,3,2006-09-24,2006-09-24T01:02:00Z,PIT,CIN,-2,42,Sun,20,28,FALSE,CIN,CIN,O
2006,3,2006-09-24,2006-09-24T04:06:00Z,CLE,BAL,6.5,33,Sun,14,15,FALSE,BAL,CLE,U
2006,3,2006-09-24,2006-09-24T08:20:00Z,NWE,DEN,-6.5,38.5,Sun,7,17,FALSE,DEN,DEN,U
2006,3,2006-09-24,2006-09-24T01:02:00Z,DET,GNB,-6.5,41,Sun,24,31,FALSE,GNB,GNB,O
2006,3,2006-09-24,2006-09-24T01:03:00Z,HOU,WAS,3.5,37.5,Sun,15,31,FALSE,WAS,WAS,O
2006,3,2006-09-24,2006-09-24T01:02:00Z,IND,JAX,-6.5,41.5,Sun,21,14,FALSE,IND,IND,U
