season,date,time,weekday,tm_home,tm_away,pts_home,pts_away,ot
2020,2019-10-22,2019-10-22T08:00:00Z,Tue,TOR,NOP,NA,NA,NA
2020,2019-10-22,2019-10-22T10:30:00Z,Tue,LAC,LAL,NA,NA,NA
2020,2019-10-23,2019-10-23T07:00:00Z,Wed,ORL,CLE,NA,NA,NA
2020,2019-10-23,2019-10-23T07:00:00Z,Wed,IND,DET,NA,NA,NA
2020,2019-10-23,2019-10-23T07:00:00Z,Wed,CHO,CHI,NA,NA,NA
2020,2019-10-23,2019-10-23T07:30:00Z,Wed,MIA,MEM,NA,NA,NA
2020,2019-10-23,2019-10-23T07:30:00Z,Wed,BRK,MIN,NA,NA,NA
2020,2019-10-23,2019-10-23T07:30:00Z,Wed,PHI,BOS,NA,NA,NA
2020,2019-10-23,2019-10-23T08:30:00Z,Wed,DAL,WAS,NA,NA,NA
2020,2019-10-23,2019-10-23T08:30:00Z,Wed,SAS,NYK,NA,NA,NA
2020,2019-10-23,2019-10-23T09:00:00Z,Wed,UTA,OKC,NA,NA,NA
2020,2019-10-23,2019-10-23T10:00:00Z,Wed,POR,DEN,NA,NA,NA
2020,2019-10-23,2019-10-23T10:00:00Z,Wed,PHO,SAC,NA,NA,NA
2020,2019-10-24,2019-10-24T07:00:00Z,Thu,DET,ATL,NA,NA,NA
2020,2019-10-24,2019-10-24T08:00:00Z,Thu,HOU,MIL,NA,NA,NA
2020,2019-10-24,2019-10-24T10:30:00Z,Thu,GSW,LAC,NA,NA,NA
2020,2019-10-25,2019-10-25T07:00:00Z,Fri,BOS,TOR,NA,NA,NA
2020,2019-10-25,2019-10-25T07:00:00Z,Fri,CHO,MIN,NA,NA,NA
2020,2019-10-25,2019-10-25T07:30:00Z,Fri,BRK,NYK,NA,NA,NA
2020,2019-10-25,2019-10-25T08:00:00Z,Fri,OKC,WAS,NA,NA,NA
2020,2019-10-25,2019-10-25T08:00:00Z,Fri,NOP,DAL,NA,NA,NA
2020,2019-10-25,2019-10-25T08:00:00Z,Fri,MEM,CHI,NA,NA,NA
2020,2019-10-25,2019-10-25T09:00:00Z,Fri,DEN,PHO,NA,NA,NA
2020,2019-10-25,2019-10-25T10:00:00Z,Fri,SAC,POR,NA,NA,NA
2020,2019-10-25,2019-10-25T10:30:00Z,Fri,LAL,UTA,NA,NA,NA
2020,2019-10-26,2019-10-26T05:00:00Z,Sat,MIL,MIA,NA,NA,NA
