eventId,eventUid,eventDate,eventName,eventShortName,venueFullName,venueCity,teamNameHome,teamAbbreviationHome,teamScoreHome,teamNameAway,teamAbbreviationAway,teamScoreAway
401030710,s:20~l:28~e:401030710,2018-09-07T00:20Z,Atlanta Falcons at Philadelphia Eagles,ATL @ PHI,Lincoln Financial Field,Philadelphia,Eagles,PHI,0,Falcons,ATL,0
401030718,s:20~l:28~e:401030718,2018-09-09T17:00Z,Pittsburgh Steelers at Cleveland Browns,PIT @ CLE,FirstEnergy Stadium,Cleveland,Browns,CLE,0,Steelers,PIT,0
401030717,s:20~l:28~e:401030717,2018-09-09T17:00Z,Cincinnati Bengals at Indianapolis Colts,CIN @ IND,Lucas Oil Stadium,Indianapolis,Colts,IND,0,Bengals,CIN,0
401030716,s:20~l:28~e:401030716,2018-09-09T17:00Z,Tennessee Titans at Miami Dolphins,TEN @ MIA,Hard Rock Stadium,Miami Gardens,Dolphins,MIA,0,Titans,TEN,0
401030715,s:20~l:28~e:401030715,2018-09-09T17:00Z,San Francisco 49ers at Minnesota Vikings,SF @ MIN,U.S. Bank Stadium,Minneapolis,Vikings,MIN,0,49ers,SF,0
401030714,s:20~l:28~e:401030714,2018-09-09T17:00Z,Houston Texans at New England Patriots,HOU @ NE,Gillette Stadium,Foxboro,Patriots,NE,0,Texans,HOU,0
401030713,s:20~l:28~e:401030713,2018-09-09T17:00Z,Tampa Bay Buccaneers at New Orleans Saints,TB @ NO,Mercedes-Benz Superdome,New Orleans,Saints,NO,0,Buccaneers,TB,0
401030712,s:20~l:28~e:401030712,2018-09-09T17:00Z,Jacksonville Jaguars at New York Giants,JAX @ NYG,MetLife Stadium,East Rutherford,Giants,NYG,0,Jaguars,JAX,0
401030711,s:20~l:28~e:401030711,2018-09-09T17:00Z,Buffalo Bills at Baltimore Ravens,BUF @ BAL,M&T Bank Stadium,Baltimore,Ravens,BAL,0,Bills,BUF,0
401030720,s:20~l:28~e:401030720,2018-09-09T20:05Z,Kansas City Chiefs at Los Angeles Chargers,KC @ LAC,StubHub Center,Carson,Chargers,LAC,0,Chiefs,KC,0
401030721,s:20~l:28~e:401030721,2018-09-09T20:25Z,Seattle Seahawks at Denver Broncos,SEA @ DEN,Broncos Stadium at Mile High,Denver,Broncos,DEN,0,Seahawks,SEA,0
401030725,s:20~l:28~e:401030725,2018-09-09T20:25Z,Washington Redskins at Arizona Cardinals,WSH @ ARI,U of Phoenix Stadium,Glendale,Cardinals,ARI,0,Redskins,WSH,0
401030723,s:20~l:28~e:401030723,2018-09-09T20:25Z,Dallas Cowboys at Carolina Panthers,DAL @ CAR,Bank of America Stadium,Charlotte,Panthers,CAR,0,Cowboys,DAL,0
401030726,s:20~l:28~e:401030726,2018-09-10T00:20Z,Chicago Bears at Green Bay Packers,CHI @ GB,Lambeau Field,Green Bay,Packers,GB,0,Bears,CHI,0
401030728,s:20~l:28~e:401030728,2018-09-10T23:10Z,New York Jets at Detroit Lions,NYJ @ DET,Ford Field,Detroit,Lions,DET,0,Jets,NYJ,0
401030751,s:20~l:28~e:401030751,2018-09-11T02:20Z,Los Angeles Rams at Oakland Raiders,LAR @ OAK,Oakland Coliseum,Oakland,Raiders,OAK,0,Rams,LAR,0
401030690,s:20~l:28~e:401030690,2018-09-14T00:20Z,Baltimore Ravens at Cincinnati Bengals,BAL @ CIN,Paul Brown Stadium,Cincinnati,Bengals,CIN,0,Ravens,BAL,0
401030691,s:20~l:28~e:401030691,2018-09-16T17:00Z,Carolina Panthers at Atlanta Falcons,CAR @ ATL,Mercedes-Benz Stadium,Atlanta,Falcons,ATL,0,Panthers,CAR,0
401030704,s:20~l:28~e:401030704,2018-09-16T17:00Z,Los Angeles Chargers at Buffalo Bills,LAC @ BUF,New Era Field,Buffalo,Bills,BUF,0,Chargers,LAC,0
