date,weekday,time,location,wk,tm_home,tm_away
2018-09-06,Thu,8:20 PM,Lincoln Financial Field,1,Philadelphia,Atlanta
2018-09-09,Sun,1:00 PM,FirstEnergy Stadium,1,Cleveland,Pittsburgh
2018-09-09,Sun,1:00 PM,Lucas Oil Stadium,1,Indianapolis,Cincinnati
2018-09-09,Sun,1:00 PM,Hard Rock Stadium,1,Miami,Tennessee
2018-09-09,Sun,1:00 PM,U.S. Bank Stadium,1,Minnesota,San Francisco
2018-09-09,Sun,1:00 PM,M&T Bank Stadium,1,Baltimore,Buffalo
2018-09-09,Sun,1:00 PM,Gillette Stadium,1,New England,Houston
2018-09-09,Sun,1:00 PM,MetLife Stadium,1,NY Giants,Jacksonville
2018-09-09,Sun,1:00 PM,Mercedes-Benz Superdome,1,New Orleans,Tampa Bay
2018-09-09,Sun,4:05 PM,StubHub Center,1,LA Chargers,Kansas City
2018-09-09,Sun,4:25 PM,University of Phoenix Stadium,1,Arizona,Washington
2018-09-09,Sun,4:25 PM,Broncos Stadium at Mile High,1,Denver,Seattle
2018-09-09,Sun,4:25 PM,Bank of America Stadium,1,Carolina,Dallas
2018-09-09,Sun,8:20 PM,Lambeau Field,1,Green Bay,Chicago
2018-09-10,Mon,7:10 PM,Ford Field,1,Detroit,NY Jets
2018-09-10,Mon,10:20 PM,Oakland Coliseum,1,Oakland,LA Rams
2018-09-13,Thu,8:20 PM,Paul Brown Stadium,2,Cincinnati,Baltimore
2018-09-16,Sun,1:00 PM,Lambeau Field,2,Green Bay,Minnesota
2018-09-16,Sun,1:00 PM,Mercedes-Benz Superdome,2,New Orleans,Cleveland
2018-09-16,Sun,1:00 PM,MetLife Stadium,2,NY Jets,Miami
2018-09-16,Sun,1:00 PM,New Era Field,2,Buffalo,LA Chargers
2018-09-16,Sun,1:00 PM,Mercedes-Benz Stadium,2,Atlanta,Carolina
2018-09-16,Sun,1:00 PM,Heinz Field,2,Pittsburgh,Kansas City
2018-09-16,Sun,1:00 PM,FedEx Field,2,Washington,Indianapolis
2018-09-16,Sun,1:00 PM,Nissan Stadium,2,Tennessee,Houston
2018-09-16,Sun,1:00 PM,Raymond James Stadium,2,Tampa Bay,Philadelphia
2018-09-16,Sun,4:05 PM,Levi's Stadium,2,San Francisco,Detroit
2018-09-16,Sun,4:05 PM,Los Angeles Memorial Coliseum,2,LA Rams,Arizona
2018-09-16,Sun,4:25 PM,Broncos Stadium at Mile High,2,Denver,Oakland
2018-09-16,Sun,4:25 PM,TIAA Bank Field,2,Jacksonville,New England
2018-09-16,Sun,8:20 PM,AT&T Stadium,2,Dallas,NY Giants
2018-09-17,Mon,8:15 PM,Soldier Field,2,Chicago,Seattle
2018-09-20,Thu,8:20 PM,FirstEnergy Stadium,3,Cleveland,NY Jets
2018-09-23,Sun,1:00 PM,Bank of America Stadium,3,Carolina,Cincinnati
2018-09-23,Sun,1:00 PM,NRG Stadium,3,Houston,NY Giants
2018-09-23,Sun,1:00 PM,TIAA Bank Field,3,Jacksonville,Tennessee
2018-09-23,Sun,1:00 PM,M&T Bank Stadium,3,Baltimore,Denver
2018-09-23,Sun,1:00 PM,Mercedes-Benz Stadium,3,Atlanta,New Orleans
2018-09-23,Sun,1:00 PM,Arrowhead Stadium,3,Kansas City,San Francisco
2018-09-23,Sun,1:00 PM,FedEx Field,3,Washington,Green Bay
2018-09-23,Sun,1:00 PM,Lincoln Financial Field,3,Philadelphia,Indianapolis
2018-09-23,Sun,1:00 PM,Hard Rock Stadium,3,Miami,Oakland
