seasontype,season,wk,wk_season,tm_home,tm_away
2,2019,1,1,CHI,GBY
2,2019,1,1,CAR,LAR
2,2019,1,1,PHI,WAS
2,2019,1,1,NYJ,BUF
2,2019,1,1,MIN,ATL
2,2019,1,1,MIA,BAL
2,2019,1,1,JAX,KCY
2,2019,1,1,CLE,TEN
2,2019,1,1,SEA,CIN
2,2019,1,1,LAC,IND
2,2019,1,1,TBY,SFO
2,2019,1,1,DAL,NYG
2,2019,1,1,ARI,DET
2,2019,1,1,NWE,PIT
2,2019,1,1,NOR,HOU
2,2019,1,1,OAK,DEN
2,2019,2,2,CAR,TBY
2,2019,2,2,BAL,ARI
2,2019,2,2,WAS,DAL
2,2019,2,2,TEN,IND
2,2019,2,2,PIT,SEA
2,2019,2,2,CIN,SFO
2,2019,2,2,DET,LAC
2,2019,2,2,GBY,MIN
2,2019,2,2,HOU,JAX
2,2019,2,2,MIA,NWE
2,2019,2,2,NYG,BUF
2,2019,2,2,OAK,KCY
2,2019,2,2,LAR,NOR
2,2019,2,2,DEN,CHI
2,2019,2,2,ATL,PHI
2,2019,2,2,NYJ,CLE
2,2019,3,3,JAX,TEN
2,2019,3,3,BUF,CIN
2,2019,3,3,PHI,DET
2,2019,3,3,NWE,NYJ
2,2019,3,3,MIN,OAK
2,2019,3,3,KCY,BAL
2,2019,3,3,IND,ATL
2,2019,3,3,DAL,MIA
2,2019,3,3,GBY,DEN
2,2019,3,3,TBY,NYG
2,2019,3,3,ARI,CAR
2,2019,3,3,LAC,HOU
2,2019,3,3,SFO,PIT
2,2019,3,3,SEA,NOR
2,2019,3,3,CLE,LAR
2,2019,3,3,WAS,CHI
2,2019,4,4,GBY,PHI
2,2019,4,4,ATL,TEN
2,2019,4,4,NYG,WAS
2,2019,4,4,MIA,LAC
2,2019,4,4,IND,OAK
2,2019,4,4,HOU,CAR
2,2019,4,4,DET,KCY
2,2019,4,4,BAL,CLE
2,2019,4,4,BUF,NWE
2,2019,4,4,LAR,TBY
2,2019,4,4,ARI,SEA
2,2019,4,4,CHI,MIN
2,2019,4,4,DEN,JAX
2,2019,4,4,NOR,DAL
2,2019,4,4,PIT,CIN
2,2019,5,5,SEA,LAR
2,2019,5,5,CIN,ARI
2,2019,5,5,HOU,ATL
2,2019,5,5,NOR,TBY
2,2019,5,5,NYG,MIN
2,2019,5,5,CAR,JAX
2,2019,5,5,OAK,CHI
2,2019,5,5,WAS,NWE
2,2019,5,5,TEN,BUF
2,2019,5,5,PHI,NYJ
2,2019,5,5,PIT,BAL
2,2019,5,5,LAC,DEN
2,2019,5,5,DAL,GBY
2,2019,5,5,KCY,IND
2,2019,5,5,SFO,CLE
2,2019,6,6,NWE,NYG
2,2019,6,6,TBY,CAR
2,2019,6,6,MIA,WAS
2,2019,6,6,MIN,PHI
2,2019,6,6,KCY,HOU
2,2019,6,6,JAX,NOR
2,2019,6,6,CLE,SEA
2,2019,6,6,BAL,CIN
2,2019,6,6,LAR,SFO
2,2019,6,6,ARI,ATL
2,2019,6,6,NYJ,DAL
2,2019,6,6,DEN,TEN
2,2019,6,6,LAC,PIT
2,2019,6,6,GBY,DET
2,2019,7,7,DEN,KCY
2,2019,7,7,ATL,LAR
2,2019,7,7,BUF,MIA
2,2019,7,7,CIN,JAX
2,2019,7,7,DET,MIN
2,2019,7,7,GBY,OAK
2,2019,7,7,IND,HOU
2,2019,7,7,NYG,ARI
2,2019,7,7,WAS,SFO
2,2019,7,7,TEN,LAC
2,2019,7,7,CHI,NOR
2,2019,7,7,SEA,BAL
2,2019,7,7,DAL,PHI
2,2019,7,7,NYJ,NWE
2,2019,8,8,MIN,WAS
2,2019,8,8,ATL,SEA
2,2019,8,8,TEN,TBY
2,2019,8,8,NOR,ARI
2,2019,8,8,LAR,CIN
2,2019,8,8,JAX,NYJ
2,2019,8,8,HOU,OAK
2,2019,8,8,BUF,PHI
2,2019,8,8,CHI,LAC
2,2019,8,8,DET,NYG
2,2019,8,8,SFO,CAR
2,2019,8,8,IND,DEN
2,2019,8,8,NWE,CLE
2,2019,8,8,KCY,GBY
2,2019,8,8,PIT,MIA
2,2019,9,9,ARI,SFO
2,2019,9,9,JAX,HOU
2,2019,9,9,BUF,WAS
2,2019,9,9,CAR,TEN
2,2019,9,9,KCY,MIN
2,2019,9,9,MIA,NYJ
2,2019,9,9,PHI,CHI
2,2019,9,9,PIT,IND
2,2019,9,9,SEA,TBY
2,2019,9,9,OAK,DET
2,2019,9,9,DEN,CLE
2,2019,9,9,LAC,GBY
2,2019,9,9,BAL,NWE
2,2019,9,9,NYG,DAL
2,2019,10,10,OAK,LAC
2,2019,10,10,CIN,BAL
2,2019,10,10,CHI,DET
2,2019,10,10,CLE,BUF
2,2019,10,10,TEN,KCY
2,2019,10,10,TBY,ARI
2,2019,10,10,NYJ,NYG
2,2019,10,10,NOR,ATL
2,2019,10,10,GBY,CAR
2,2019,10,10,IND,MIA
2,2019,10,10,PIT,LAR
2,2019,10,10,DAL,MIN
2,2019,10,10,SFO,SEA
2,2019,11,11,CLE,PIT
2,2019,11,11,IND,JAX
2,2019,11,11,DET,DAL
2,2019,11,11,CAR,ATL
2,2019,11,11,BAL,HOU
2,2019,11,11,MIA,BUF
2,2019,11,11,WAS,NYJ
2,2019,11,11,TBY,NOR
2,2019,11,11,MIN,DEN
2,2019,11,11,SFO,ARI
2,2019,11,11,PHI,NWE
2,2019,11,11,OAK,CIN
2,2019,11,11,LAR,CHI
2,2019,11,11,LAC,KCY
2,2019,12,12,HOU,IND
2,2019,12,12,CIN,PIT
2,2019,12,12,CHI,NYG
2,2019,12,12,BUF,DEN
2,2019,12,12,ATL,TBY
2,2019,12,12,CLE,MIA
2,2019,12,12,WAS,DET
2,2019,12,12,NYJ,OAK
2,2019,12,12,NOR,CAR
2,2019,12,12,TEN,JAX
2,2019,12,12,NWE,DAL
2,2019,12,12,SFO,GBY
2,2019,12,12,PHI,SEA
2,2019,12,12,LAR,BAL
2,2019,13,13,DET,CHI
2,2019,13,13,DAL,BUF
2,2019,13,13,ATL,NOR
2,2019,13,13,BAL,SFO
2,2019,13,13,CAR,WAS
2,2019,13,13,CIN,NYJ
2,2019,13,13,IND,TEN
2,2019,13,13,JAX,TBY
2,2019,13,13,KCY,OAK
2,2019,13,13,MIA,PHI
2,2019,13,13,NYG,GBY
2,2019,13,13,ARI,LAR
2,2019,13,13,DEN,LAC
2,2019,13,13,PIT,CLE
2,2019,13,13,HOU,NWE
2,2019,13,13,SEA,MIN
2,2019,14,14,CHI,DAL
2,2019,14,14,ATL,CAR
2,2019,14,14,TBY,IND
2,2019,14,14,NYJ,MIA
2,2019,14,14,NOR,SFO
2,2019,14,14,MIN,DET
2,2019,14,14,HOU,DEN
2,2019,14,14,GBY,WAS
2,2019,14,14,BUF,BAL
2,2019,14,14,CLE,CIN
2,2019,14,14,JAX,LAC
2,2019,14,14,OAK,TEN
2,2019,14,14,NWE,KCY
2,2019,14,14,ARI,PIT
2,2019,14,14,LAR,SEA
2,2019,14,14,PHI,NYG
2,2019,15,15,BAL,NYJ
2,2019,15,15,CAR,SEA
2,2019,15,15,WAS,PHI
2,2019,15,15,TEN,HOU
2,2019,15,15,PIT,BUF
2,2019,15,15,NYG,MIA
2,2019,15,15,KCY,DEN
2,2019,15,15,GBY,CHI
2,2019,15,15,DET,TBY
2,2019,15,15,CIN,NWE
2,2019,15,15,OAK,JAX
2,2019,15,15,ARI,CLE
2,2019,15,15,SFO,ATL
2,2019,15,15,DAL,LAR
2,2019,15,15,LAC,MIN
2,2019,15,15,NOR,IND
2,2019,16,16,SFO,LAR
2,2019,16,16,NWE,BUF
2,2019,16,16,LAC,OAK
2,2019,16,16,DEN,DET
2,2019,16,16,TBY,HOU
2,2019,16,16,IND,CAR
2,2019,16,16,MIA,CIN
2,2019,16,16,NYJ,PIT
2,2019,16,16,ATL,JAX
2,2019,16,16,CLE,BAL
2,2019,16,16,WAS,NYG
2,2019,16,16,TEN,NOR
2,2019,16,16,PHI,DAL
2,2019,16,16,SEA,ARI
2,2019,16,16,CHI,KCY
2,2019,16,16,MIN,GBY
2,2019,17,17,CIN,CLE
2,2019,17,17,DAL,WAS
2,2019,17,17,DET,GBY
2,2019,17,17,HOU,TEN
2,2019,17,17,JAX,IND
2,2019,17,17,KCY,LAC
2,2019,17,17,MIN,CHI
2,2019,17,17,NWE,MIA
2,2019,17,17,NYG,PHI
2,2019,17,17,TBY,ATL
2,2019,17,17,BAL,PIT
2,2019,17,17,BUF,NYJ
2,2019,17,17,CAR,NOR
2,2019,17,17,DEN,OAK
2,2019,17,17,SEA,SFO
2,2019,17,17,LAR,ARI
