date,weekday,time,location,wk,tm_home,tm_away
2020-09-10,Thu,8:20 PM,Arrowhead Stadium,1,Kansas City,Houston
2020-09-13,Sun,1:00 PM,Mercedes-Benz Stadium,1,Atlanta,Seattle
2020-09-13,Sun,1:00 PM,FedExField,1,Washington,Philadelphia
2020-09-13,Sun,1:00 PM,Bills Stadium,1,Buffalo,NY Jets
2020-09-13,Sun,1:00 PM,U.S. Bank Stadium,1,Minnesota,Green Bay
2020-09-13,Sun,1:00 PM,TIAA Bank Field,1,Jacksonville,Indianapolis
2020-09-13,Sun,1:00 PM,Ford Field,1,Detroit,Chicago
2020-09-13,Sun,1:00 PM,M&T Bank Stadium,1,Baltimore,Cleveland
2020-09-13,Sun,1:00 PM,Bank of America Stadium,1,Carolina,Las Vegas
2020-09-13,Sun,1:00 PM,Gillette Stadium,1,New England,Miami
2020-09-13,Sun,4:05 PM,Paul Brown Stadium,1,Cincinnati,LA Chargers
2020-09-13,Sun,4:25 PM,Mercedes-Benz Superdome,1,New Orleans,Tampa Bay
2020-09-13,Sun,4:25 PM,Levi's Stadium,1,San Francisco,Arizona
2020-09-13,Sun,8:20 PM,SoFi Stadium,1,LA Rams,Dallas
2020-09-14,Mon,7:10 PM,MetLife Stadium,1,NY Giants,Pittsburgh
2020-09-14,Mon,10:20 PM,Empower Field at Mile High,1,Denver,Tennessee
2020-09-17,Thu,8:20 PM,FirstEnergy Stadium,2,Cleveland,Cincinnati
2020-09-20,Sun,1:00 PM,Soldier Field,2,Chicago,NY Giants
2020-09-20,Sun,1:00 PM,Nissan Stadium,2,Tennessee,Jacksonville
2020-09-20,Sun,1:00 PM,Raymond James Stadium,2,Tampa Bay,Carolina
2020-09-20,Sun,1:00 PM,Lincoln Financial Field,2,Philadelphia,LA Rams
2020-09-20,Sun,1:00 PM,AT&T Stadium,2,Dallas,Atlanta
2020-09-20,Sun,1:00 PM,Lambeau Field,2,Green Bay,Detroit
2020-09-20,Sun,1:00 PM,Lucas Oil Stadium,2,Indianapolis,Minnesota
2020-09-20,Sun,1:00 PM,Hard Rock Stadium,2,Miami,Buffalo
2020-09-20,Sun,1:00 PM,MetLife Stadium,2,NY Jets,San Francisco
2020-09-20,Sun,1:00 PM,Heinz Field,2,Pittsburgh,Denver
2020-09-20,Sun,4:05 PM,State Farm Stadium,2,Arizona,Washington
2020-09-20,Sun,4:25 PM,SoFi Stadium,2,LA Chargers,Kansas City
2020-09-20,Sun,4:25 PM,NRG Stadium,2,Houston,Baltimore
2020-09-20,Sun,8:20 PM,CenturyLink Field,2,Seattle,New England
2020-09-21,Mon,8:15 PM,Allegiant Stadium,2,Las Vegas,New Orleans
2020-09-24,Thu,8:20 PM,TIAA Bank Field,3,Jacksonville,Miami
2020-09-27,Sun,1:00 PM,MetLife Stadium,3,NY Giants,San Francisco
2020-09-27,Sun,1:00 PM,U.S. Bank Stadium,3,Minnesota,Tennessee
2020-09-27,Sun,1:00 PM,FirstEnergy Stadium,3,Cleveland,Washington
2020-09-27,Sun,1:00 PM,Lincoln Financial Field,3,Philadelphia,Cincinnati
2020-09-27,Sun,1:00 PM,Bills Stadium,3,Buffalo,LA Rams
2020-09-27,Sun,1:00 PM,Mercedes-Benz Stadium,3,Atlanta,Chicago
2020-09-27,Sun,1:00 PM,Gillette Stadium,3,New England,Las Vegas
2020-09-27,Sun,1:00 PM,Heinz Field,3,Pittsburgh,Houston
2020-09-27,Sun,4:05 PM,SoFi Stadium,3,LA Chargers,Carolina
2020-09-27,Sun,4:05 PM,Lucas Oil Stadium,3,Indianapolis,NY Jets
2020-09-27,Sun,4:25 PM,State Farm Stadium,3,Arizona,Detroit
2020-09-27,Sun,4:25 PM,Empower Field at Mile High,3,Denver,Tampa Bay
2020-09-27,Sun,4:25 PM,CenturyLink Field,3,Seattle,Dallas
2020-09-27,Sun,8:20 PM,Mercedes-Benz Superdome,3,New Orleans,Green Bay
