season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home
2006,1,1,2006-08-10,2006-08-10T23:30:00Z,PHI,CLE,7,20
2006,1,1,2006-08-11,2006-08-11T23:30:00Z,DET,DEN,13,20
2006,1,1,2006-08-11,2006-08-11T23:30:00Z,TBY,NYJ,3,16
2006,1,1,2006-08-12,2006-08-12T00:00:00Z,ATL,NWE,23,26
2006,1,1,2006-08-12,2006-08-12T00:00:00Z,BAL,NYG,17,16
2006,1,1,2006-08-12,2006-08-12T02:00:00Z,SFO,CHI,14,28
2006,1,1,2006-08-12,2006-08-12T19:00:00Z,ARI,PIT,13,21
2006,1,1,2006-08-12,2006-08-12T23:30:00Z,CAR,BUF,13,14
2006,1,1,2006-08-12,2006-08-12T23:30:00Z,MIA,JAX,31,26
2006,1,1,2006-08-13,2006-08-13T00:00:00Z,HOU,KCY,14,24
2006,1,1,2006-08-13,2006-08-13T00:00:00Z,TEN,NOR,19,16
2006,1,1,2006-08-13,2006-08-13T02:00:00Z,SEA,DAL,13,3
2006,1,1,2006-08-14,2006-08-14T00:00:00Z,CIN,WAS,3,19
2006,1,1,2006-08-15,2006-08-15T00:00:00Z,MIN,OAK,16,13
2006,1,2,2006-08-18,2006-08-18T00:00:00Z,BAL,PHI,10,20
2006,1,2,2006-08-18,2006-08-18T00:00:00Z,NYG,KCY,0,17
2006,1,2,2006-08-18,2006-08-18T23:00:00Z,BUF,CIN,44,31
2006,1,2,2006-08-18,2006-08-18T23:30:00Z,CLE,DET,16,20
2006,1,2,2006-08-19,2006-08-19T23:30:00Z,JAX,CAR,17,10
2006,1,2,2006-08-19,2006-08-19T23:30:00Z,TBY,MIA,13,10
2006,1,2,2006-08-20,2006-08-20T00:00:00Z,GBY,ATL,10,38
2006,1,2,2006-08-20,2006-08-20T00:00:00Z,NWE,ARI,3,30
2006,1,2,2006-08-20,2006-08-20T00:00:00Z,PIT,MIN,17,10
2006,1,2,2006-08-20,2006-08-20T00:00:00Z,WAS,NYJ,27,14
2006,1,2,2006-08-20,2006-08-20T01:00:00Z,DEN,TEN,10,35
2006,1,2,2006-08-21,2006-08-21T00:00:00Z,IND,SEA,30,17
2006,1,2,2006-08-21,2006-08-21T00:00:00Z,OAK,SFO,7,23
2006,1,2,2006-08-22,2006-08-22T00:00:00Z,NOR,DAL,30,7
2006,1,3,2006-08-25,2006-08-25T00:00:00Z,CAR,MIA,10,19
2006,1,3,2006-08-26,2006-08-26T00:00:00Z,CHI,ARI,23,16
2006,1,3,2006-08-26,2006-08-26T00:00:00Z,MIN,BAL,7,30
2006,1,3,2006-08-26,2006-08-26T00:00:00Z,NYJ,NYG,13,7
2006,1,3,2006-08-26,2006-08-26T00:00:00Z,PHI,PIT,7,16
2006,1,3,2006-08-26,2006-08-26T02:00:00Z,OAK,DET,3,21
2006,1,3,2006-08-26,2006-08-26T22:00:00Z,BUF,CLE,20,17
2006,1,3,2006-08-26,2006-08-26T23:00:00Z,NOR,IND,27,14
2006,1,3,2006-08-27,2006-08-27T00:00:00Z,DAL,SFO,7,17
2006,1,3,2006-08-27,2006-08-27T00:00:00Z,JAX,TBY,18,29
2006,1,3,2006-08-27,2006-08-27T00:00:00Z,NWE,WAS,0,41
2006,1,3,2006-08-27,2006-08-27T00:00:00Z,TEN,ATL,20,6
2006,1,3,2006-08-28,2006-08-28T00:00:00Z,DEN,HOU,14,17
2006,1,3,2006-08-29,2006-08-29T00:00:00Z,CIN,GBY,17,48
2006,1,4,2006-08-31,2006-08-31T23:30:00Z,ATL,JAX,20,17
2006,1,4,2006-08-31,2006-08-31T23:30:00Z,DET,BUF,20,13
2006,1,4,2006-08-31,2006-08-31T23:30:00Z,NYG,NWE,23,31
2006,1,4,2006-08-31,2006-08-31T23:30:00Z,PIT,CAR,15,13
2006,1,4,2006-09-01,2006-09-01T00:00:00Z,CLE,CHI,20,7
2006,1,4,2006-09-01,2006-09-01T00:00:00Z,DAL,MIN,10,10
2006,1,4,2006-09-01,2006-09-01T00:00:00Z,HOU,TBY,13,16
2006,1,4,2006-09-01,2006-09-01T00:00:00Z,WAS,BAL,17,10
2006,1,4,2006-09-01,2006-09-01T00:30:00Z,KCY,NOR,9,10
2006,1,4,2006-09-01,2006-09-01T01:00:00Z,ARI,DEN,29,23
2006,1,4,2006-09-01,2006-09-01T02:00:00Z,SEA,OAK,7,30
2006,1,4,2006-09-01,2006-09-01T20:00:00Z,GBY,TEN,35,21
2006,1,4,2006-09-01,2006-09-01T23:00:00Z,IND,CIN,20,3
2006,1,4,2006-09-01,2006-09-01T23:00:00Z,NYJ,PHI,17,20
2006,2,1,2006-09-08,2006-09-08T00:30:00Z,PIT,MIA,17,28
2006,2,1,2006-09-10,2006-09-10T17:00:00Z,CAR,ATL,20,6
2006,2,1,2006-09-10,2006-09-10T17:00:00Z,CLE,NOR,19,14
2006,2,1,2006-09-10,2006-09-10T17:00:00Z,DET,SEA,9,6
2006,2,1,2006-09-10,2006-09-10T17:00:00Z,HOU,PHI,24,10
2006,2,1,2006-09-10,2006-09-10T17:00:00Z,KCY,CIN,23,10
2006,2,1,2006-09-10,2006-09-10T17:00:00Z,NWE,BUF,17,19
2006,2,1,2006-09-10,2006-09-10T17:00:00Z,TBY,BAL,27,0
2006,2,1,2006-09-10,2006-09-10T17:00:00Z,TEN,NYJ,23,16
2006,2,1,2006-09-10,2006-09-10T20:15:00Z,ARI,SFO,27,34
2006,2,1,2006-09-10,2006-09-10T20:15:00Z,GBY,CHI,26,0
2006,2,1,2006-09-10,2006-09-10T20:15:00Z,JAX,DAL,17,24
2006,2,1,2006-09-11,2006-09-11T00:15:00Z,NYG,IND,26,21
2006,2,1,2006-09-11,2006-09-11T23:00:00Z,WAS,MIN,19,16
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,ATL,TBY,3,14
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,BAL,OAK,6,28
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,CHI,DET,7,34
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,CIN,CLE,17,34
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,GBY,NOR,34,27
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,IND,HOU,24,43
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,MIA,BUF,16,6
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,MIN,CAR,13,16
2006,2,2,2006-09-17,2006-09-17T17:00:00Z,PHI,NYG,30,24
2006,2,2,2006-09-17,2006-09-17T20:05:00Z,SEA,ARI,10,21
2006,2,2,2006-09-17,2006-09-17T20:15:00Z,DEN,KCY,6,9
2006,2,2,2006-09-17,2006-09-17T20:15:00Z,NYJ,NWE,24,17
2006,2,2,2006-09-18,2006-09-18T00:15:00Z,DAL,WAS,10,27
2006,2,2,2006-09-19,2006-09-19T00:30:00Z,JAX,PIT,0,9
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,BUF,NYJ,28,20
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,DET,GBY,31,24
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,HOU,WAS,31,15
2006,2,3,2006-09-24,2006-09-24T17:00:00Z,IND,JAX,14,21
