season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home,season1,wk1
2018,2,3,2018-09-21,2018-09-21T00:20:00Z,CLE,NYJ,17,21,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,CAR,CIN,21,31,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,HOU,NYG,27,22,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,JAX,TEN,9,6,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,BAL,DEN,14,27,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,ATL,NOR,43,37,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,KCY,SFO,27,38,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,WAS,GBY,17,31,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,PHI,IND,16,20,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,MIA,OAK,20,28,2018,3
2018,2,3,2018-09-23,2018-09-23T17:00:00Z,MIN,BUF,27,6,2018,3
2018,2,3,2018-09-23,2018-09-23T20:05:00Z,LAR,LAC,23,35,2018,3
2018,2,3,2018-09-23,2018-09-23T20:25:00Z,ARI,CHI,16,14,2018,3
2018,2,3,2018-09-23,2018-09-23T20:25:00Z,SEA,DAL,13,24,2018,3
2018,2,3,2018-09-24,2018-09-24T00:20:00Z,DET,NWE,10,26,2018,3
