tm_home,tm_away,spread_home,total,timestamp_scrape
PIT,CAR,-3.5,50.5,2018-11-08T17:02:00Z
CLE,ATL,5.5,50.5,2018-11-11T05:02:00Z
CIN,NOR,5,54,2018-11-11T05:02:00Z
CHI,DET,-7,44,2018-11-11T05:02:00Z
GBY,MIA,-13,48.5,2018-11-11T17:02:00Z
TEN,NWE,7,47,2018-11-11T05:02:00Z
TBY,WAS,-3.5,50.5,2018-11-11T05:02:00Z
NYJ,BUF,-7.5,36.5,2018-11-11T05:02:00Z
KCY,ARI,-16.5,49.5,2018-11-11T05:02:00Z
IND,JAX,-3,46.5,2018-11-11T05:02:00Z
OAK,LAC,10.5,50,2018-11-11T17:02:00Z
LAR,SEA,-10,51,2018-11-11T17:02:00Z
PHI,DAL,-7.5,45.5,2018-11-11T17:02:00Z
SFO,NYG,-3,45,2018-11-12T05:02:00Z
