tm_home,tm_away,spread_home,total,timestamp_scrape,season,wk
LAR,MIN,-7,48.5,2018-09-27T17:02:00Z,2018,4
DAL,DET,-2.5,44,2018-09-30T13:11:00Z,2018,4
GBY,BUF,-8.5,43.5,2018-09-30T13:11:00Z,2018,4
IND,HOU,1,48,2018-09-30T13:11:00Z,2018,4
CHI,TBY,-3,46,2018-09-30T13:11:00Z,2018,4
ATL,CIN,-3.5,52.5,2018-09-30T13:11:00Z,2018,4
JAX,NYJ,-7.5,40.5,2018-09-30T13:11:00Z,2018,4
TEN,PHI,3,41.5,2018-09-30T13:11:00Z,2018,4
NWE,MIA,-6.5,50.5,2018-09-30T13:11:00Z,2018,4
ARI,SEA,3.5,40,2018-09-30T17:02:00Z,2018,4
OAK,CLE,-2.5,44.5,2018-09-30T17:02:00Z,2018,4
NYG,NOR,3.5,51.5,2018-09-30T17:02:00Z,2018,4
LAC,SFO,-10,46,2018-09-30T17:02:00Z,2018,4
PIT,BAL,-3,51,2018-09-30T17:02:00Z,2018,4
DEN,KCY,3.5,54.5,2018-09-30T17:02:00Z,2018,4
