tm_home,tm_away,spread_home,total,timestamp_scrape
HOU,MIA,-7.5,45,2018-10-22T05:02:00Z
JAX,PHI,3.5,41,2018-10-22T05:02:00Z
KCY,DEN,-10,55.5,2018-10-22T17:02:00Z
PIT,CLE,-7.5,50.5,2018-10-22T05:02:00Z
DET,SEA,-2.5,49,2018-10-22T05:02:00Z
CIN,TBY,-4.5,53.5,2018-10-22T17:02:00Z
CHI,NYJ,-6.5,46,2018-10-22T05:02:00Z
CAR,BAL,1,43.5,2018-10-22T05:02:00Z
OAK,IND,0,51,2018-10-22T05:02:00Z
ARI,SFO,0,43.5,2018-10-22T05:02:00Z
LAR,GBY,-8.5,57,2018-10-22T05:02:00Z
MIN,NOR,-1.5,52,2018-10-22T05:02:00Z
BUF,NWE,13,44.5,2018-10-22T05:02:00Z
