tm_home,tm_away,spread_home,total,timestamp_scrape
NWE,IND,-10.5,53,2018-10-01T05:02:00Z
CIN,MIA,-5.5,50,2018-10-01T05:02:00Z
CLE,BAL,2.5,46,2018-10-01T05:02:00Z
CAR,NYG,-7,44,2018-10-01T05:02:00Z
BUF,TEN,3.5,39,2018-10-01T05:02:00Z
DET,GBY,1,51,2018-10-01T05:02:00Z
PIT,ATL,-3.5,56,2018-10-01T05:02:00Z
NYJ,DEN,-1,43.5,2018-10-01T05:02:00Z
KCY,JAX,-3.5,51.5,2018-10-01T05:02:00Z
LAC,OAK,-6.5,52,2018-10-01T05:02:00Z
SFO,ARI,-4.5,41,2018-10-01T05:02:00Z
PHI,MIN,-3,44.5,2018-10-01T05:02:00Z
SEA,LAR,7,49,2018-10-01T05:02:00Z
HOU,DAL,-3,45,2018-10-01T05:02:00Z
NOR,WAS,-7,52,2018-10-01T05:02:00Z
