sc,range,season,tm_tr,tm,w_win,l_win,t_win,mov_win,w_ats,l_ats,t_ats,ats_ats,w_ou,l_ou,t_ou,total_ou
is_after_bye,2016,2016,Arizona,ARI,1,0,0,3,0,1,0,-10.5,0,1,0,-3.5
is_after_bye,2016,2016,Atlanta,ATL,2,0,0,17.5,2,0,0,12.5,2,0,0,6.5
is_after_bye,2016,2016,Baltimore,BAL,1,0,0,7,1,0,0,10.5,0,1,0,-11
is_after_bye,2016,2016,Buffalo,BUF,1,0,0,4,1,0,0,6.5,0,1,0,-20
is_after_bye,2016,2016,Carolina,CAR,1,0,0,10,1,0,0,7.5,1,0,0,4.5
is_after_bye,2016,2016,Chicago,CHI,0,1,0,-26,0,1,0,-28.5,1,0,0,1
is_after_bye,2016,2016,Cincinnati,CIN,0,1,0,-1,0,1,0,-2,0,1,0,-8.5
is_after_bye,2016,2016,Cleveland,CLE,0,1,0,-13,0,1,0,-9,0,1,0,-9
is_after_bye,2016,2016,Dallas,DAL,1,1,0,1.5,1,1,0,-3.8,2,0,0,10.2
is_after_bye,2016,2016,Denver,DEN,0,1,0,-3,0,1,0,-6.5,1,0,0,17
is_after_bye,2016,2016,Detroit,DET,1,0,0,7,1,0,0,1.5,0,1,0,-2
is_after_bye,2016,2016,Green Bay,GBY,1,0,0,7,0,0,1,0,0,1,0,-10
is_after_bye,2016,2016,Houston,HOU,1,0,0,3,1,0,0,6,1,0,0,3
is_after_bye,2016,2016,Indianapolis,IND,1,0,0,7,1,0,0,4,0,1,0,-12.5
is_after_bye,2016,2016,Jacksonville,JAX,1,0,0,1,1,0,0,3.5,0,1,0,-13
is_after_bye,2016,2016,Kansas City,KCY,1,1,0,7,1,1,0,5.2,0,2,0,-11
is_after_bye,2016,2016,LA Chargers,LAC,1,0,0,8,1,0,0,5.5,0,1,0,-11.5
is_after_bye,2016,2016,LA Rams,LAR,0,1,0,-3,0,0,1,0,0,1,0,-21.5
is_after_bye,2016,2016,Miami,MIA,1,0,0,4,1,0,0,0.5,1,0,0,5
is_after_bye,2016,2016,Minnesota,MIN,0,1,0,-11,0,1,0,-13.5,0,1,0,-8
is_after_bye,2016,2016,New Orleans,NOR,1,0,0,3,1,0,0,5.5,1,0,0,25.5
is_after_bye,2016,2016,New England,NWE,1,1,0,5.5,1,1,0,-6.2,2,0,0,5.8
is_after_bye,2016,2016,NY Giants,NYG,1,0,0,5,1,0,0,2,1,0,0,8.5
is_after_bye,2016,2016,NY Jets,NYJ,0,1,0,-5,1,0,0,3.5,0,1,0,-9
is_after_bye,2016,2016,Oakland,OAK,1,0,0,7,1,0,0,0.5,1,0,0,1.5
is_after_bye,2016,2016,Philadelphia,PHI,0,1,0,-1,0,1,0,-4.5,1,0,0,1
is_after_bye,2016,2016,Pittsburgh,PIT,0,1,0,-7,0,1,0,-10.5,0,1,0,-11
is_after_bye,2016,2016,Seattle,SEA,1,0,0,2,0,1,0,-5,1,0,0,4.5
is_after_bye,2016,2016,San Francisco,SFO,0,1,0,-18,0,1,0,-13,1,0,0,11
is_after_bye,2016,2016,Tampa Bay,TBY,1,0,0,17,1,0,0,18,1,0,0,6
is_after_bye,2016,2016,Tennessee,TEN,1,0,0,3,1,0,0,1,0,1,0,-21
is_after_bye,2016,2016,Washington,WAS,1,0,0,6,1,0,0,3.5,1,0,0,4
is_after_bye,2017,2017,Arizona,ARI,1,0,0,10,1,0,0,7.5,0,1,0,-9
is_after_bye,2017,2017,Atlanta,ATL,0,1,0,-3,0,1,0,-17,0,1,0,-9
is_after_bye,2017,2017,Baltimore,BAL,1,0,0,23,1,0,0,20.5,0,1,0,-15.5
is_after_bye,2017,2017,Buffalo,BUF,1,0,0,3,0,0,1,0,1,0,0,10.5
is_after_bye,2017,2017,Carolina,CAR,1,0,0,8,1,0,0,2.5,1,0,0,22.5
is_after_bye,2017,2017,Chicago,CHI,0,1,0,-7,0,1,0,-11.5,1,0,0,1.5
is_after_bye,2017,2017,Cincinnati,CIN,0,1,0,-15,0,1,0,-11,1,0,0,3
is_after_bye,2017,2017,Cleveland,CLE,0,1,0,-14,0,1,0,-3.5,1,0,0,19.5
is_after_bye,2017,2017,Dallas,DAL,1,0,0,30,1,0,0,23.5,1,0,0,2
is_after_bye,2017,2017,Denver,DEN,0,1,0,-13,0,1,0,-26.5,0,1,0,-4.5
is_after_bye,2017,2017,Detroit,DET,0,1,0,-5,0,1,0,-2,0,1,0,-9.5
is_after_bye,2017,2017,Green Bay,GBY,0,1,0,-13,0,1,0,-10.5,1,0,0,4.5
is_after_bye,2017,2017,Houston,HOU,0,1,0,-3,1,0,0,3,1,0,0,34
is_after_bye,2017,2017,Indianapolis,IND,0,1,0,-4,0,1,0,-1,0,1,0,-10.5
is_after_bye,2017,2017,Jacksonville,JAX,1,0,0,16,1,0,0,10,0,1,0,-8
is_after_bye,2017,2017,Kansas City,KCY,0,1,0,-3,0,1,0,-13,0,1,0,-23.5
is_after_bye,2017,2017,LA Chargers,LAC,0,1,0,-3,1,0,0,2,0,1,0,-3.5
is_after_bye,2017,2017,LA Rams,LAR,1,0,0,34,1,0,0,28.5,1,0,0,25.5
is_after_bye,2017,2017,Minnesota,MIN,2,0,0,6.5,1,1,0,3.2,2,0,0,15.8
is_after_bye,2017,2017,New Orleans,NOR,1,0,0,14,1,0,0,8,1,0,0,39.5
is_after_bye,2017,2017,New England,NWE,2,0,0,23,2,0,0,12.8,2,0,0,6.2
is_after_bye,2017,2017,NY Giants,NYG,0,1,0,-34,0,1,0,-28.5,1,0,0,25.5
is_after_bye,2017,2017,NY Jets,NYJ,0,1,0,-8,0,1,0,-2.5,1,0,0,22.5
is_after_bye,2017,2017,Oakland,OAK,0,1,0,-25,0,1,0,-18,0,1,0,-14
is_after_bye,2017,2017,Philadelphia,PHI,2,0,0,16.5,2,0,0,14.8,0,2,0,-8.5
is_after_bye,2017,2017,Pittsburgh,PIT,1,1,0,0,0,2,0,-8.8,1,1,0,18.2
is_after_bye,2017,2017,Seattle,SEA,1,0,0,17,1,0,0,13,0,1,0,-8
is_after_bye,2017,2017,San Francisco,SFO,0,1,0,-11,0,1,0,-4,0,1,0,-8
is_after_bye,2017,2017,Tennessee,TEN,1,0,0,3,0,0,1,0,1,0,0,2
is_after_bye,2017,2017,Washington,WAS,1,0,0,2,0,1,0,-10,1,0,0,4
is_after_loss,2016,2016,Arizona,ARI,5,3,0,3.6,4,4,0,0.2,5,3,0,8.4
is_after_loss,2016,2016,Atlanta,ATL,4,1,0,10.4,3,2,0,8.1,5,0,0,12
is_after_loss,2016,2016,Baltimore,BAL,3,4,0,-3.1,2,5,0,-4,2,5,0,-3.3
is_after_loss,2016,2016,Buffalo,BUF,3,5,0,-2,3,5,0,-1.4,6,2,0,5.2
is_after_loss,2016,2016,Carolina,CAR,4,5,0,-1.2,4,5,0,-3.3,5,4,0,5.9
is_after_loss,2016,2016,Chicago,CHI,3,9,0,-6.3,6,6,0,-2.8,6,6,0,-1.8
is_after_loss,2016,2016,Cincinnati,CIN,4,5,0,2.6,5,4,0,1.4,4,5,0,-6.2
is_after_loss,2016,2016,Cleveland,CLE,1,13,0,-11.9,3,11,0,-4.6,7,7,0,-0.5
is_after_loss,2016,2016,Dallas,DAL,2,1,0,2.3,1,2,0,-0.7,2,1,0,4.7
is_after_loss,2016,2016,Denver,DEN,4,3,0,0.6,4,3,0,-0.4,1,6,0,-7.6
is_after_loss,2016,2016,Detroit,DET,2,5,0,-7.3,2,5,0,-3.1,4,3,0,0.1
is_after_loss,2016,2016,Green Bay,GBY,3,3,0,-1.3,3,3,0,-4.2,4,2,0,7.1
is_after_loss,2016,2016,Houston,HOU,5,2,0,2.7,4,2,1,3.2,3,4,0,-4.6
is_after_loss,2016,2016,Indianapolis,IND,7,1,0,9,6,2,0,10.6,5,3,0,2.2
is_after_loss,2016,2016,Jacksonville,JAX,2,10,0,-4.8,6,6,0,-1.5,8,4,0,1.9
is_after_loss,2016,2016,Kansas City,KCY,4,0,0,15.8,4,0,0,14.8,2,2,0,-1.5
is_after_loss,2016,2016,LA Chargers,LAC,4,6,0,1.6,5,5,0,1.4,5,5,0,3.5
is_after_loss,2016,2016,LA Rams,LAR,2,9,0,-12.4,2,8,1,-7.5,5,6,0,-4
is_after_loss,2016,2016,Miami,MIA,3,3,0,-2.3,2,4,0,-0.1,4,2,0,3.8
is_after_loss,2016,2016,Minnesota,MIN,3,5,0,0.8,4,4,0,-0.4,5,3,0,3.2
is_after_loss,2016,2016,New Orleans,NOR,4,4,0,2.1,6,2,0,2.9,4,4,0,4.8
is_after_loss,2016,2016,New England,NWE,2,0,0,16.5,2,0,0,6.2,0,2,0,-3
is_after_loss,2016,2016,NY Giants,NYG,3,2,0,-1,3,1,1,2.9,1,4,0,-11.9
is_after_loss,2016,2016,NY Jets,NYJ,4,7,0,-8.2,5,6,0,-3.7,3,8,0,-2.5
is_after_loss,2016,2016,Oakland,OAK,3,1,0,3.5,3,1,0,4,2,2,0,-7.5
