trend,sc,season,tm_tr,tm,w,l,t,mov,ats,total
ats,is_after_bye,2016,Arizona,ARI,0,1,0,3,-10.5,NA
ats,is_after_bye,2016,Atlanta,ATL,2,0,0,17.5,12.5,NA
ats,is_after_bye,2016,Baltimore,BAL,1,0,0,7,10.5,NA
ats,is_after_bye,2016,Buffalo,BUF,1,0,0,4,6.5,NA
ats,is_after_bye,2016,Carolina,CAR,1,0,0,10,7.5,NA
ats,is_after_bye,2016,Chicago,CHI,0,1,0,-26,-28.5,NA
ats,is_after_bye,2016,Cincinnati,CIN,0,1,0,-1,-2,NA
ats,is_after_bye,2016,Cleveland,CLE,0,1,0,-13,-9,NA
ats,is_after_bye,2016,Dallas,DAL,1,1,0,1.5,-3.8,NA
ats,is_after_bye,2016,Denver,DEN,0,1,0,-3,-6.5,NA
ats,is_after_bye,2016,Detroit,DET,1,0,0,7,1.5,NA
ats,is_after_bye,2016,Green Bay,GBY,0,0,1,7,0,NA
ats,is_after_bye,2016,Houston,HOU,1,0,0,3,6,NA
ats,is_after_bye,2016,Indianapolis,IND,1,0,0,7,4,NA
ats,is_after_bye,2016,Jacksonville,JAX,1,0,0,1,3.5,NA
ats,is_after_bye,2016,Kansas City,KCY,1,1,0,7,5.2,NA
ats,is_after_bye,2016,LA Chargers,LAC,1,0,0,8,5.5,NA
ats,is_after_bye,2016,LA Rams,LAR,0,0,1,-3,0,NA
ats,is_after_bye,2016,Miami,MIA,1,0,0,4,0.5,NA
ats,is_after_bye,2016,Minnesota,MIN,0,1,0,-11,-13.5,NA
ats,is_after_bye,2016,New Orleans,NOR,1,0,0,3,5.5,NA
ats,is_after_bye,2016,New England,NWE,1,1,0,5.5,-6.2,NA
ats,is_after_bye,2016,NY Giants,NYG,1,0,0,5,2,NA
ats,is_after_bye,2016,NY Jets,NYJ,1,0,0,-5,3.5,NA
ats,is_after_bye,2016,Oakland,OAK,1,0,0,7,0.5,NA
ats,is_after_bye,2016,Philadelphia,PHI,0,1,0,-1,-4.5,NA
ats,is_after_bye,2016,Pittsburgh,PIT,0,1,0,-7,-10.5,NA
ats,is_after_bye,2016,Seattle,SEA,0,1,0,2,-5,NA
ats,is_after_bye,2016,San Francisco,SFO,0,1,0,-18,-13,NA
ats,is_after_bye,2016,Tampa Bay,TBY,1,0,0,17,18,NA
ats,is_after_bye,2016,Tennessee,TEN,1,0,0,3,1,NA
ats,is_after_bye,2016,Washington,WAS,1,0,0,6,3.5,NA
ats,is_after_bye,2017,Arizona,ARI,1,0,0,10,7.5,NA
ats,is_after_bye,2017,Atlanta,ATL,0,1,0,-3,-17,NA
ats,is_after_bye,2017,Baltimore,BAL,1,0,0,23,20.5,NA
ats,is_after_bye,2017,Buffalo,BUF,0,0,1,3,0,NA
ats,is_after_bye,2017,Carolina,CAR,1,0,0,8,2.5,NA
ats,is_after_bye,2017,Chicago,CHI,0,1,0,-7,-11.5,NA
ats,is_after_bye,2017,Cincinnati,CIN,0,1,0,-15,-11,NA
ats,is_after_bye,2017,Cleveland,CLE,0,1,0,-14,-3.5,NA
ats,is_after_bye,2017,Dallas,DAL,1,0,0,30,23.5,NA
ats,is_after_bye,2017,Denver,DEN,0,1,0,-13,-26.5,NA
ats,is_after_bye,2017,Detroit,DET,0,1,0,-5,-2,NA
ats,is_after_bye,2017,Green Bay,GBY,0,1,0,-13,-10.5,NA
ats,is_after_bye,2017,Houston,HOU,1,0,0,-3,3,NA
ats,is_after_bye,2017,Indianapolis,IND,0,1,0,-4,-1,NA
ats,is_after_bye,2017,Jacksonville,JAX,1,0,0,16,10,NA
